Institution,Year,,Mean_Tone_Score,Median_Tone_Score,[ID],INSTITUTION,Institution_std,TLO Age,MEDSCHOOL,corrected_medschool,MEDSCHOOL (cat),STATE,STATE (cat),INSTTYPE,INSTTYPE (cat),Carnegie R1,Carnegie R2,Carnegie Classification (cat),Private,Private (cat),Stem program,Stem program (cat),Urbanicity,Urbanicity (cat),Land-Grant Institution,Land-Grant Institution (cat),Tot Res Exp,tot_res_expend,Tot Lic/Opt Exe,Fed Res Exp,Ind Res Exp,Leg Fees,Reimb Leg Fee,Act Lic,Excl Lic/Opt.,Lic w Equ,Tot Lic Lg Co,Tot Lic Sm Co,Tot Lic St-Ups,Tot Discl Lic,Non-Excl Lic/Opt,Lic Iss,Opt Iss,NEWCOMPSUPP,Lic Inc Equ,Lic $1mm+,Lic Gen Inc,Lic Gen Run Roy,Lic Inc Other,Lic Inc Pd Oth,Net Licensing Income,License Income/Invention Disclosure,Gross Lic Inc,Lic Inc Run Roy,Inv Dis Rec,Fed Disclosure,INVDISRES,New Pat App Fld,For. Pat App Fld,Pro Pat App Fld,Util Pat App Fld,Tot Pat App Fld,Iss US Pat,Iss US Pat_Missing,New Prod,Cum Op St-Ups,St-Ups Cld,St-Ups in Home St,St-Ups Formed,startup_missing,St-Ups w Equ,Lic FTEs,Oth FTEs,Ex Copyright Lic,Ex Oth Non-Open Src Lic,Ex Pat Lic,Non-Ex Copyright Lic,Non-Ex Oth Non-Open Src Lic,Non-Ex Pat Lic,Tot Copyright Lic,Tot Oth Non_Open Src Lic,Tot Pat Lic,Non-Bin Gndr Disc,Non-Bin Gndr Disc (cat),Race Ethnicity,Race Ethnicity (cat),Non-Bin Gndr Pat,Non-Bin Gndr Pat (cat),Race Ethnicity Pat,Race Ethnicity Pat (cat),Institution_std_lower,Flat,Flat (cat),$0-10k,$10-50k,$50-100k,$100-300k,$300-500k,$0.5-1M,>$1M,Royalty Share,royalty_adjusted,royalty_adjusted_numerical,,weighted_share,Fee,Lab,Lab (cat),More,More (cat),combinedshare_LS,faculty2,matching,faculty2_corrected,invdisrec,newpatappfld,issuspat,discperfaculty2,appperfac2,issperfac2,ID,Duplicates,Num Duplicates,Institution Founding Year,Age_of_uni
Albert Einstein/Yeshiva,1998,Albert Einstein/Yeshiva1998,0.350688588,0.43644599,95002,Albert Einstein College of Med/Yeshiva University,Albert Einstein/Yeshiva,13,1,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,125000000,,35,99000000,1050000,341000,219000,,22,0,29,4,2,,13,,,, ,,14,, ,"$300,000.00 ","$1,503,000.00 ","$60,185.19 ",1625000, ,27,,,7,,,,17,12,0,0,2,0,0,2,0,,1,1,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,0.00%,0,No,0,No,30.00%,10857,1998Albert Einstein/Yeshiva,199,9,0,0,0.045351475,0,0,University of New Hampshire1998,0,1,1886,139
Albert Einstein/Yeshiva,2007,Albert Einstein/Yeshiva2007,0.350688588,0.43644599,95002,Albert Einstein College of Med/Yeshiva University,Albert Einstein/Yeshiva,22,1,1,Yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,149961430,,8,148000000,1961430,0,0,,4,3,0,6,2,9,4,8,0,,$0.00 ,0,35,17,"$1,956,924.00 ", ,"$1,975,404.00 ","$49,385.10 ",1975404,18480,40,,7,36,8,27,1,74,12,0,1,8,,0,2,0,1,5,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,20.00%,0,No,0,No,26.67%,10678,2007Albert Einstein/Yeshiva,199,268,84,40,0.16521353,0.051783346,0.024658736,University of Washington2005,0,1,1886,139
Albert Einstein/Yeshiva,2008,Albert Einstein/Yeshiva2008,0.350688588,0.43644599,95002,Albert Einstein College of Med/Yeshiva University,Albert Einstein/Yeshiva,23,1,1,Yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,145523590,,4,143866245,1657345,0,0,,2,0,0,3,1,22,1,3,1,,"$566,390.00 ",0,24,12,"$1,387,955.00 ", ,"$2,034,755.00 ","$70,163.97 ",2034755,80410,29,,3,12,0,12,0,30,8,0,,,,0,1,0,0,5,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,0.00%,0,No,0,No,40.00%,10671,2008Albert Einstein/Yeshiva,199,174,94,27,0.1568038,0.0847101,0.024331624,Penn State University1996,0,1,1886,139
Albert Einstein/Yeshiva,2019,Albert Einstein/Yeshiva2019,0.380574079,0.417480373,71137,Albert Einstein College of Medicine,Albert Einstein/Yeshiva,34,1,1,Yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,182208486,,17,178500000,3708486,0,0,,3,,5,10,1,,12,15,2,, ,0,68,26, , ,"$2,201,452.00 ","$53,693.95 ",2201452,203417,41,,,20,0,20,17,41,16,0,,,,0,1,0,1,2,4,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,#REF!,24.00%,0,No,0,No,54.76%,10671,2019Albert Einstein/Yeshiva,199,233,51,20,0.14363714,0.03143989,0.012329368,University of Washington1996,0,1,1886,139
Albert Einstein/Yeshiva,2021,Albert Einstein/Yeshiva2021,0.380574079,0.417480373,95002,Albert Einstein College of Medicine Inc.,Albert Einstein/Yeshiva,36,1,1,Yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,201856459,,29,185000000,3392420,0,0,,9,1,12,15,1,,19,27,2,,"$29,050.00 ",0,73,19, , ,"$2,965,240.00 ","$76,031.79 ",2965240,102253,39,,,35,,35,,,25,0,1,,,1,1,0,1,4,4,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,#REF!,24.00%,0,No,0,No,54.76%,10596,2021Albert Einstein/Yeshiva,199,153,29,15,0.094319664,0.017877582,0.009247026,University of Washington1994,0,1,1886,139
Albert Einstein/Yeshiva,2009,Albert Einstein/Yeshiva2009,0.350688588,0.43644599,95002,Albert Einstein College of Med/Yeshiva University,Albert Einstein/Yeshiva,24,1,1,Yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,142966051,,10,140794345,2171706,0,0,,4,1,3,5,2,15,6,10,0,,$0.00 ,1,40,21,"$2,841,081.00 ", ,"$2,966,838.00 ","$58,173.29 ",2966838,125757,51,,,8,0,8,0,20,7,0,2,13,0,0,2,0,1,4,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,0.00%,0,No,0,No,40.00%,10596,2009Albert Einstein/Yeshiva,199,120,50,18,0.10814055,0.045058563,0.016221082,Penn State University1995,0,1,1886,139
Albert Einstein/Yeshiva,2023,Albert Einstein/Yeshiva2023,0.380574079,0.417480373,71137,Albert Einstein College of Medicine,Albert Einstein/Yeshiva,38,1,1,Yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,233041944,,4,230156781,2885163,0,0,,6,1,,,,,22,28,4,,"$21,259.00 ",0,71,22,"$2,770,446.00 ", ,"$2,991,576.00 ","$119,663.04 ",2991576,199871,25,,,13,,13,,,20,0,,,,1,3,0,1,2,5,0,1,5,7,12,3,7,13,8,,,0,No,,,0,No,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,#REF!,15.00%,0,No,0,No,61.25%,10472,2023Albert Einstein/Yeshiva,199,111,20,,0.068427995,0.012329368,,University of Washington1991,0,1,1886,139
Albert Einstein/Yeshiva,2014,Albert Einstein/Yeshiva2014,0.350688588,0.43644599,95002,Albert Einstein College of Med/Yeshiva University,Albert Einstein/Yeshiva,29,1,1,yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,148384135,,27,144884321,3499814,0,217599,99,5,1,11,12,4,40,21,26,1,,$0.00 ,0,81,31,"$3,053,212.00 ","$122,276.00 ","$3,483,496.00 ","$50,244.57 ",3265897,212685,65,,,37,0,37,0,85,19,0,1,,,1,4,0,1,4,3,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,#REF!,24.00%,0,No,0,No,54.76%,10472,2014Albert Einstein/Yeshiva,199,199,73,46,0.12267721,0.045002192,0.028357547,University of Washington2003120s_UniversityofWashington_IPPolicy_2003.txt,0,1,1886,139
Albert Einstein/Yeshiva,2013,Albert Einstein/Yeshiva2013,0.350688588,0.43644599,95002,Albert Einstein College of Med/Yeshiva University,Albert Einstein/Yeshiva,28,1,1,Yes,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,180685671,,19,177178886,3506785,0,0,,6,2,,,4,35,12,18,1,0,"$1,885.00 ",1,34,23,"$3,210,035.00 ", ,"$3,442,097.00 ","$60,387.67 ",3442097,230177,57,,,46,0,46,0,97,20,0,,,,2,4,0,2,4,4,,,,,,,,,,,,,,,,,,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,,,,,,,,10237,2013Albert Einstein/Yeshiva,199,,,,,,,Penn State University1992,0,1,1886,139
Albert Einstein/Yeshiva,2022,Albert Einstein/Yeshiva2022,0.380574079,0.417480373,71137,Albert Einstein College of Medicine,Albert Einstein/Yeshiva,37,1,1,YES,36,NY,0,5U,0,1,Non-R1,1,Private,1,Yes,3,Urban,0,No,224134903,,28,220787747,3347156,0,0,,3,0,,,0,,19,25,3,,"$1,028,961.00 ",1,64,25,"$2,492,561.00 ", ,"$3,721,158.00 ","$132,898.50 ",3721158,199636,28,,,18,,18,,,14,0,2,,,,0,1,,3,4,0,,3,4,15,0,4,15,6,0,No,0,No,0,No,0,No,albert einstein/yeshiva,1,Yes,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,33.00%,0.33,,#REF!,15.00%,0,No,0,No,61.25%,10237,2022Albert Einstein/Yeshiva,199,164,36,22,0.10110082,0.022192862,0.013562305,University of Washington1993,0,1,1886,139
